Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.98535717,0.9166667,0.0,0.98333335,0.9902777,0.97959185,0.97731113,0.972973,0.9667965,0.98630136,0.988057,0.005882353,1,0
2,0.9733438,0.88429755,0.0,0.96322316,0.9931129,0.972973,0.9652229,0.9578714,0.9414822,0.98855835,0.99019194,0.0056338026,0,0
3,0.9675782,0.85164833,0.0,0.9543958,0.99267393,0.9688889,0.9607332,0.9488574,0.9317211,0.98978436,0.99161005,0.005357143,0,0
4,0.9579196,0.8362069,0.0,0.9606323,0.97270113,0.96434635,0.9545206,0.9479306,0.9397653,0.9813407,0.9697467,0.04786344,11,0
5,0.92103344,0.78245616,0.003508772,0.93725157,0.9263159,0.95372516,0.93320763,0.9484584,0.94347554,0.9590507,0.92316085,0.08385135,8,0
6,0.91148424,0.75595236,0.0029761905,0.93561506,0.9131945,0.945632,0.92747813,0.948666,0.9432565,0.9426175,0.91221905,0.13006432,10,0
7,0.8987637,0.734375,0.0052083335,0.9375868,0.8936634,0.9379985,0.91827524,0.94947916,0.9469887,0.9267921,0.8912517,0.18683529,13,1
8,0.8709756,0.6892523,0.004672897,0.9208333,0.8604754,0.9288489,0.8987784,0.95021963,0.94798195,0.9084183,0.8544304,0.251881,17,0
9,0.84092087,0.6434599,0.004219409,0.9014416,0.8267234,0.91839975,0.8800188,0.9507176,0.94846076,0.8882068,0.82078964,0.30809775,15,0
10,0.7954046,0.59195405,0.011494253,0.8614942,0.7793429,0.9058684,0.8484081,0.95092297,0.94722,0.8648901,0.7682645,0.3284393,13,19
11,0.76302165,0.5492958,0.01056338,0.83265835,0.7441026,0.89277667,0.8284019,0.950859,0.9453722,0.8413816,0.7371899,0.3359902,15,0
12,0.728766,0.51377636,0.014586709,0.7973257,0.7103193,0.8796604,0.80318695,0.9509067,0.9464785,0.8183462,0.6975776,0.3423003,12,0
13,0.69240785,0.47988078,0.023845008,0.7592398,0.6742678,0.86631256,0.77858496,0.9509064,0.94628286,0.7955403,0.6613773,0.35007286,7,0
14,0.6579454,0.44827586,0.030344827,0.7211723,0.641288,0.8525235,0.7556612,0.95085996,0.9458164,0.7726203,0.6291678,0.35408655,7,5
15,0.62424594,0.41943735,0.03324808,0.6856563,0.6082913,0.83874124,0.7310211,0.9506222,0.9438322,0.7504223,0.5965203,0.35513633,4,0
